Time;Input;Th1;Th2
0;0.3;-0.00133463;-0.000264744
0.01;0.299999998;-0.008658961;-0.010030518
0.02;0.299999962;-0.01476257;0.000955978
0.03;0.299999808;-0.031852674;0.041239796
0.04;0.299999394;-0.053825666;0.0864065
0.05;0.29999852;-0.069695048;0.125469596
0.06;0.29999693;-0.089226596;0.153546197
0.07;0.299994313;-0.09899237;0.186505684
0.08;0.299990298;-0.114861753;0.208478676
0.09;0.299984459;-0.131951858;0.236555276
0.1;0.299976313;-0.149041962;0.26707332
0.11;0.29996532;-0.164911345;0.293929198
0.12;0.299950884;-0.18200145;0.319564355
0.13;0.29993235;-0.205195163;0.336654459
0.14;0.299909008;-0.216181659;0.365951781
0.15;0.299880092;-0.236933928;0.383041886
0.16;0.299844778;-0.260127642;0.396469825
0.17;0.299802185;-0.274776303;0.414780652
0.18;0.299751377;-0.294307851;0.425767147
0.19;0.299691361;-0.305294347;0.444077974
0.2;0.299621087;-0.323605173;0.452623026
0.21;0.29953945;-0.344357443;0.461168078
0.22;0.299445288;-0.359006104;0.468492409
0.23;0.299337383;-0.374875486;0.477037461
0.24;0.299214464;-0.393186313;0.481920348
0.25;0.2990752;-0.415159304;0.475816739
0.26;0.298918209;-0.549438697;0.459947356
0.27;0.298742053;-0.549438697;0.4623888
0.28;0.298545238;-0.566528801;0.4623888
0.29;0.298326219;-0.579956741;0.467271687
0.3;0.298083393;-0.597046845;0.466050965
0.31;0.297815108;-0.615357671;0.464830243
0.32;0.297519658;-0.631227054;0.467271687
0.33;0.297195284;-0.650758602;0.468492409
0.34;0.296840177;-0.665407263;0.473375296
0.35;0.296452476;-0.684938811;0.478258183
0.36;0.296030271;-0.702028916;0.485582513
0.37;0.295571603;-0.71911902;0.492906844
0.38;0.295074465;-0.737429847;0.502672618
0.39;0.294536803;-0.754519951;0.513659113
0.4;0.293956516;-0.772830777;0.528307774
0.41;0.293331458;-0.783817273;0.55272221
0.42;0.292659442;-0.802128099;0.569812314
0.43;0.291938236;-0.822880369;0.58812314
0.44;0.291165569;-0.833866865;0.612537575
0.45;0.29033913;-0.85095697;0.638172732
0.46;0.28945657;-0.871709239;0.661366445
0.47;0.288515507;-0.885137179;0.688222324
0.48;0.28751352;-0.902227283;0.715078202
0.49;0.286448163;-0.916875944;0.750479133
0.5;0.285316955;-0.936407492;0.77611429
0.51;0.28411739;-0.951056153;0.793204395
0.52;0.282846937;-0.990119249;0.887199969
0.53;0.281503043;-0.995002136;0.887199969
0.54;0.280083134;-1.008430076;0.917718013
0.55;0.278584621;-1.023078737;0.955560388
0.56;0.2770049;-1.041389563;0.994623484
0.57;0.275341358;-1.05359678;1.015375753
0.58;0.273591373;-1.068245441;1.067866789
0.59;0.27175232;-1.085335546;1.094722667
0.6;0.269821575;-1.10242565;1.115474937
0.61;0.267796517;-1.113412146;1.15942092
0.62;0.265674533;-1.132943694;1.172848859
0.63;0.26345302;-1.147592355;1.207029068
0.64;0.261129395;-1.162241016;1.22900206
0.65;0.258701093;-1.173227512;1.260740826
0.66;0.256165577;-1.187876173;1.287596704
0.67;0.253520338;-1.206186999;1.299803922
0.68;0.250762904;-1.215952773;1.322997635
0.69;0.247890845;-1.233042878;1.342529183
0.7;0.244901775;-1.244029374;1.359619287
0.71;0.241793363;-1.259898756;1.371826505
0.72;0.238563333;-1.275768139;1.386475166
0.73;0.235209475;-1.291637522;1.392578775
0.74;0.231729648;-1.303844739;1.401123827
0.75;0.22812179;-1.312389792;1.410889601
0.76;0.224383918;-1.324597009;1.415772488
0.77;0.220514144;-1.336804227;1.419434653
0.78;0.216510672;-1.35999794;1.414551766
0.79;0.212371814;-1.363660105;1.41699321
0.8;0.208095992;-1.375867323;1.413331044
0.81;0.203681745;-1.385633097;1.410889601
0.82;0.199127741;-1.400281758;1.402344549
0.83;0.19443278;-1.414930419;1.398682383
0.84;0.189595806;-1.421034028;1.398682383
0.85;0.184615911;-1.432020523;1.391358053
0.86;0.179492346;-1.445448463;1.382813001
0.87;0.174224527;-1.451552071;1.379150835
0.88;0.168812047;-1.461317845;1.376709392
0.89;0.163254679;-1.473525063;1.370605783
0.9;0.157552389;-1.483290837;1.365722896
0.91;0.151705343;-1.488173724;1.366943618
0.92;0.145713915;-1.497939498;1.360840009
0.93;0.139578695;-1.504043107;1.362060731
0.94;0.1333005;-1.513808881;1.362060731
0.95;0.126880379;-1.526016098;1.3547364
0.96;0.120319626;-1.529678264;1.358398566
0.97;0.113619785;-1.535781872;1.364502174
0.98;0.106782657;-1.544326925;1.36816434
0.99;0.099810313;-1.54798909;1.370605783
1;0.092705098;-1.55531342;1.37548867
1.01;0.085469643;-1.561417029;1.381592279
1.02;0.078106866;-1.561417029;1.393799496
1.03;0.070619987;-1.56874136;1.40356527
1.04;0.063012531;-1.572403525;1.419434653
1.05;0.055288335;-1.574844968;1.427979706
1.06;0.047451556;-1.580948577;1.434083314
1.07;0.039506679;-1.583390021;1.449952697
1.08;0.031458517;-1.578507134;1.46582208
1.09;0.023312225;-1.580948577;1.481691463
1.1;0.015073295;-1.588272908;1.492677958
1.11;0.006747572;-1.583390021;1.510988785
1.12;-0.00221167;-1.583390021;1.529299611
1.13;-0.01351884;-1.583390021;1.545168994
1.14;-0.024915539;-1.585831464;1.562259098
1.15;-0.036392082;-1.583390021;1.576907759
1.16;-0.047938297;-1.587052186;1.585452811
1.17;-0.059543533;-1.587052186;1.608646525
1.18;-0.071196654;-1.579727855;1.622074464
1.19;-0.082886042;-1.579727855;1.631840238
1.2;-0.094599599;-1.57606569;1.647709621
1.21;-0.106324749;-1.573624247;1.651371786
1.22;-0.118048445;-1.57606569;1.657475395
1.23;-0.129757173;-1.56874136;1.668461891
1.24;-0.141436957;-1.562637751;1.675786221
1.25;-0.153073373;-1.557754864;1.674565499
1.26;-0.164651554;-1.54798909;1.683110552
1.27;-0.176156205;-1.541885481;1.677006943
1.28;-0.187571612;-1.530898985;1.675786221
1.29;-0.198881661;-1.51991249;1.669682612
1.3;-0.210069852;-1.516250324;1.656254673
1.31;-0.221119316;-1.501601663;1.644047456
1.32;-0.232012838;-1.493056611;1.631840238
1.33;-0.242732873;-1.47840795;1.620853742
1.34;-0.253261577;-1.466200732;1.596439307
1.35;-0.263580825;-1.451552071;1.576907759
1.36;-0.27367224;-1.439344854;1.557376211
1.37;-0.283517224;-1.425916915;1.520754559
1.38;-0.293096986;-1.411268254;1.513430228
1.39;-0.302392577;-1.40150248;1.479250019
1.4;-0.311384921;-1.386853819;1.440186923
1.41;-0.320054855;-1.367322271;1.408448157
1.42;-0.328383166;-1.353894331;1.381592279
1.43;-0.336350631;-1.329479896;1.34741207
1.44;-0.343938057;-1.319714122;1.2985832
1.45;-0.351126331;-1.300182574;1.271727321
1.46;-0.357896458;-1.280651026;1.220457008
1.47;-0.364229615;-1.259898756;1.196042573
1.48;-0.370107195;-1.239146487;1.15209659
1.49;-0.375510864;-1.223277104;1.119137102
1.5;-0.380422607;-1.201304112;1.072749676
1.51;-0.384824786;-1.178110399;1.048335241
1.52;-0.388700195;-1.159799573;1.008051423
1.53;-0.392032117;-1.136605859;0.967767605
1.54;-0.39480438;-1.118295033;0.928704509
1.55;-0.39700142;-1.098763485;0.890862135
1.56;-0.398608338;-1.073128328;0.855461204
1.57;-0.399610961;-1.057258946;0.820060273
1.58;-0.399995907;-1.029182345;0.799308003
1.59;-0.399750645;-1.002326467;0.761465629
1.6;-0.39886356;-0.987677806;0.738271916
1.61;-0.397324012;-0.966925536;0.702870985
1.62;-0.395122403;-0.943731823;0.691884489
1.63;-0.39225024;-0.922979553;0.666249332
1.64;-0.388700195;-0.904668727;0.645497063
1.65;-0.384466169;-0.880254292;0.632069123
1.66;-0.379543352;-0.8582813;0.617420462
1.67;-0.373928287;-0.835087587;0.610096132
1.68;-0.367618924;-0.820438926;0.596668193
1.69;-0.360614678;-0.796024491;0.591785306
1.7;-0.352916491;-0.782596551;0.583240253
1.71;-0.344526875;-0.758182116;0.589343862
1.72;-0.335449975;-0.742312734;0.584460975
1.73;-0.325691607;-0.71911902;0.593006027
1.74;-0.31525931;-0.699587472;0.595447471
1.75;-0.304162386;-0.684938811;0.600330358
1.76;-0.292411942;-0.675173037;0.602771801
1.77;-0.280020919;-0.651979324;0.616199741
1.78;-0.26700413;-0.637330663;0.628406958
1.79;-0.25337828;-0.626344167;0.634510567
1.8;-0.239161993;-0.609254063;0.651600671
1.81;-0.224375827;-0.603150454;0.656483558
1.82;-0.209042283;-0.589722515;0.671132219
1.83;-0.193185813;-0.57263241;0.691884489
1.84;-0.176832822;-0.560425193;0.705312428
1.85;-0.160011655;-0.556763027;0.708974594
1.86;-0.142752591;-0.548217975;0.724843977
1.87;-0.125087821;-0.542114366;0.732168307
1.88;-0.107051418;-0.533569314;0.750479133
1.89;-0.088679307;-0.531127871;0.757803464
1.9;-0.070009224;-0.52380354;0.767569238
1.91;-0.051080663;-0.521362097;0.778555734
1.92;-0.031934824;-0.51647921;0.788321508
1.93;-0.012614544;-0.520141375;0.791983673
1.94;0.00512683;-0.515258488;0.801749447
1.95;0.019777679;-0.520141375;0.798087282
1.96;0.034456179;-0.522582818;0.795645838
1.97;0.049125893;-0.517699931;0.791983673
1.98;0.063749493;-0.527465705;0.779776455
1.99;0.078288845;-0.52380354;0.778555734
2;0.092705098;-0.528686427;0.767569238
2.01;0.106958786;-0.531127871;0.763907073
2.02;0.121009931;-0.539672923;0.74803769
2.03;0.134818152;-0.549438697;0.72728542
2.04;0.148342786;-0.553100862;0.721181811
2.05;0.161543004;-0.559204471;0.707753872
2.06;0.174377944;-0.570190967;0.694325933
2.07;0.186806837;-0.577515297;0.680897993
2.08;0.198789152;-0.589722515;0.665028611
2.09;0.21028473;-0.60070901;0.647938506
2.1;0.221253935;-0.606812619;0.63695201
2.11;0.231657804;-0.62146128;0.622303349
2.12;0.241458196;-0.633668498;0.60887541
2.13;0.250617951;-0.645875715;0.597888914
2.14;0.259101048;-0.660524376;0.585681697
2.15;0.266872763;-0.676393759;0.573474479
2.16;0.273899833;-0.689821698;0.567370871
2.17;0.280150614;-0.700808194;0.564929427
2.18;0.285595249;-0.71911902;0.558825818
2.19;0.29020582;-0.736209125;0.556384375
2.2;0.293956516;-0.749637064;0.557605097
2.21;0.296823784;-0.76794789;0.557605097
2.22;0.298786488;-0.780155108;0.564929427
2.23;0.299826057;-0.799686656;0.564929427
2.24;0.29992663;-0.817997482;0.569812314
2.25;0.2990752;-0.8302047;0.583240253
2.26;0.297261746;-0.848515526;0.591785306
2.27;0.29447936;-0.868047074;0.606433967
2.28;0.290724367;-0.87903357;0.624744793
2.29;0.285996437;-0.892461509;0.645497063
2.3;0.280298683;-0.908330892;0.672352941
2.31;0.273637752;-0.926641718;0.687001602
2.32;0.266023905;-0.938848936;0.711416037
2.33;0.257471084;-0.954718318;0.733389029
2.34;0.247996962;-0.968146258;0.759024186
2.35;0.237622984;-0.982794919;0.789542229
2.36;0.226374396;-0.998664302;0.799308003
2.37;0.214280249;-1.007209354;0.842033265
2.38;0.201373394;-1.020637293;0.864006256
2.39;0.187690459;-1.036506676;0.885979248
2.4;0.173271811;-1.051155337;0.926263066
2.41;0.158161492;-1.05359678;0.953118944
2.42;0.142407148;-1.060921111;0.975091936
2.43;0.126059929;-1.069466163;1.005609979
2.44;0.109174377;-1.075569772;1.031245136
2.45;0.091808293;-1.081673381;1.053218128
2.46;0.07402258;-1.090218433;1.072749676
2.47;0.055881076;-1.097542763;1.095943389
2.48;0.037450358;-1.092659876;1.117916381
2.49;0.018799531;-1.101204929;1.128902876
2.5;9.18485E-17;-1.097542763;1.154538033
